link,pumps,pumps,pumps,pumps,pumps,pumps
id,P78,P78,P78,P79,P79,P79
properties,flow,energy,status,flow,energy,status
0 days 12:50:00,737.1960072965743,227.02520129892878,1.0,737.1960072965743,227.02520129892878,1.0
0 days 12:55:00,737.1960078832519,227.02520145642765,1.0,737.1960078832519,227.02520145642765,1.0
0 days 13:00:00,737.1960076379621,227.0252013905774,1.0,737.1960076379621,227.0252013905774,1.0
0 days 13:05:00,737.1960070378142,227.02520122946228,1.0,737.1960070378142,227.02520122946228,1.0
0 days 13:10:00,737.1960074529657,227.02520134091344,1.0,737.1960074529657,227.02520134091344,1.0
0 days 13:15:00,737.196007797472,227.02520143339927,1.0,737.196007797472,227.02520143339927,1.0
0 days 13:20:00,737.1960075422868,227.0252013648925,1.0,737.1960075422868,227.0252013648925,1.0
0 days 13:25:00,737.1960069035239,227.02520119341088,1.0,737.1960069035239,227.02520119341088,1.0
0 days 13:30:00,737.1960072337838,227.02520128207212,1.0,737.1960072337838,227.02520128207212,1.0
0 days 13:35:00,737.1960079517772,227.02520147482394,1.0,737.1960079517772,227.02520147482394,1.0
0 days 13:40:00,737.1960069579941,227.02520120803385,1.0,737.1960069579941,227.02520120803385,1.0
0 days 13:45:00,737.1960069766625,227.02520121304556,1.0,737.1960069766625,227.02520121304556,1.0
0 days 13:50:00,737.196007949149,227.02520147411835,1.0,737.196007949149,227.02520147411835,1.0
0 days 13:55:00,737.1960082636642,227.0252015585528,1.0,737.1960082636642,227.0252015585528,1.0
0 days 14:00:00,737.1960080856003,227.02520151074992,1.0,737.1960080856003,227.02520151074992,1.0
0 days 14:05:00,737.1960072051505,227.02520127438524,1.0,737.1960072051505,227.02520127438524,1.0
0 days 14:10:00,737.1960076805265,227.02520140200417,1.0,737.1960076805265,227.02520140200417,1.0
0 days 14:15:00,737.1960073048838,227.0252013011595,1.0,737.1960073048838,227.0252013011595,1.0
0 days 14:20:00,737.1960081190874,227.02520151973985,1.0,737.1960081190874,227.02520151973985,1.0
0 days 14:25:00,737.1960078735463,227.02520145382215,1.0,737.1960078735463,227.02520145382215,1.0
0 days 14:30:00,737.1960076425743,227.02520139181559,1.0,737.1960076425743,227.02520139181559,1.0
0 days 14:35:00,737.1960067325309,227.0252011475062,1.0,737.1960067325309,227.0252011475062,1.0
0 days 14:40:00,737.196007549894,227.02520136693474,1.0,737.196007549894,227.02520136693474,1.0
0 days 14:45:00,737.196007039244,227.0252012298462,1.0,737.196007039244,227.0252012298462,1.0
0 days 14:50:00,737.1960073577278,227.02520131534598,1.0,737.1960073577278,227.02520131534598,1.0
0 days 14:55:00,737.1960074057572,227.02520132823992,1.0,737.1960074057572,227.02520132823992,1.0
0 days 15:00:00,737.1960082693817,227.02520156008768,1.0,737.1960082693817,227.02520156008768,1.0
0 days 15:05:00,737.196007732083,227.025201415845,1.0,737.196007732083,227.025201415845,1.0
0 days 15:10:00,737.1960068635773,227.02520118268686,1.0,737.1960068635773,227.02520118268686,1.0
0 days 15:15:00,737.196007638187,227.02520139063776,1.0,737.196007638187,227.02520139063776,1.0
0 days 15:20:00,737.1960072498838,227.0252012863943,1.0,737.1960072498838,227.0252012863943,1.0
0 days 15:25:00,737.1960078723073,227.02520145348953,1.0,737.1960078723073,227.02520145348953,1.0
0 days 15:30:00,737.1960070463913,227.02520123176492,1.0,737.1960070463913,227.02520123176492,1.0
0 days 15:35:00,737.1960074639812,227.02520134387066,1.0,737.1960074639812,227.02520134387066,1.0
0 days 15:40:00,737.196007084299,227.02520124194157,1.0,737.196007084299,227.02520124194157,1.0
0 days 15:45:00,737.1960072329516,227.02520128184872,1.0,737.1960072329516,227.02520128184872,1.0
0 days 15:50:00,737.196007168233,227.02520126447436,1.0,737.196007168233,227.02520126447436,1.0
0 days 15:55:00,737.1960067473238,227.02520115147757,1.0,737.1960067473238,227.02520115147757,1.0
0 days 16:00:00,737.1960069489432,227.02520120560408,1.0,737.1960069489432,227.02520120560408,1.0
0 days 16:05:00,737.1960068317778,227.02520117414997,1.0,737.1960068317778,227.02520117414997,1.0
0 days 16:10:00,737.1960076842256,227.02520140299728,1.0,737.1960076842256,227.02520140299728,1.0
0 days 16:15:00,737.1960075598818,227.02520136961607,1.0,737.1960075598818,227.02520136961607,1.0
0 days 16:20:00,737.1960077963648,227.02520143310207,1.0,737.1960077963648,227.02520143310207,1.0
0 days 16:25:00,737.1960074703941,227.02520134559225,1.0,737.1960074703941,227.02520134559225,1.0
0 days 16:30:00,737.1960071779584,227.02520126708532,1.0,737.1960071779584,227.02520126708532,1.0
0 days 16:35:00,737.1960070782638,227.0252012403213,1.0,737.1960070782638,227.0252012403213,1.0
0 days 16:40:00,737.1960078824269,227.02520145620622,1.0,737.1960078824269,227.02520145620622,1.0
0 days 16:45:00,737.1960079556056,227.02520147585173,1.0,737.1960079556056,227.02520147585173,1.0
0 days 16:50:00,737.1960069752533,227.0252012126673,1.0,737.1960069752533,227.0252012126673,1.0
0 days 16:55:00,737.1960082769592,227.02520156212196,1.0,737.1960082769592,227.02520156212196,1.0
0 days 17:00:00,737.1960075580887,227.02520136913466,1.0,737.1960075580887,227.02520136913466,1.0
0 days 17:05:00,737.1960082405444,227.0252015523461,1.0,737.1960082405444,227.0252015523461,1.0
0 days 17:10:00,737.1960073288004,227.02520130758015,1.0,737.1960073288004,227.02520130758015,1.0
0 days 17:15:00,737.1960069799875,227.02520121393823,1.0,737.1960069799875,227.02520121393823,1.0
0 days 17:20:00,737.1960070836515,227.02520124176772,1.0,737.1960070836515,227.02520124176772,1.0
0 days 17:25:00,737.1960077184823,227.02520141219372,1.0,737.1960077184823,227.02520141219372,1.0
0 days 17:30:00,737.1960074214769,227.02520133246009,1.0,737.1960074214769,227.02520133246009,1.0
0 days 17:35:00,737.1960076607081,227.02520139668377,1.0,737.1960076607081,227.02520139668377,1.0
0 days 17:40:00,737.1960074506884,227.0252013403021,1.0,737.1960074506884,227.0252013403021,1.0
0 days 17:45:00,737.1960082540556,227.02520155597324,1.0,737.1960082540556,227.02520155597324,1.0
0 days 17:50:00,737.1960071538228,227.02520126060585,1.0,737.1960071538228,227.02520126060585,1.0
0 days 17:55:00,737.1960083424942,227.02520157971546,1.0,737.1960083424942,227.02520157971546,1.0
0 days 18:00:00,737.1960072001573,227.0252012730448,1.0,737.1960072001573,227.0252012730448,1.0
